,expected,Predicted,F1Score,Accept,Change
0,Acct_id,Acct_id,1,,
1,Acct_id,Acct_id,1,,
2,Acct_MName,Acct_MName,1,,
3,Acct_UIDNo.,Acct_UIDNo.,1,,
4,Acct_FName,Acct_FName,1,,
5,Acct_email,Acct_email,1,,
6,Acct_phone,Acct_phone,1,,
7,Acct_Addr1,Acct_Addr1,1,,
8,Acct_City,Acct_City,1,,
9,Acct_FName,Acct_FName,1,,
10,Acct_Addr1,Acct_Addr1,1,,
11,Acct_City,Acct_City,1,,
12,Acct_Addr1,Acct_Addr1,1,,
13,Acct_DOB,Acct_DOB,1,,
14,Acct_UIDNo.,Acct_UIDNo.,1,,
15,Acct_LName,Acct_LName,1,,
16,Acct_City,Acct_FName,0.8,,
17,Acct_LName,Acct_LName,1,,
18,Acct_LName,Acct_LName,1,,
19,Acct_DOB,Acct_DOB,1,,
20,Acct_phone,Acct_phone,1,,
21,Acct_FName,Acct_FName,1,,
22,Acct_UIDNo.,Acct_UIDNo.,1,,
23,Acct_phone,Acct_phone,1,,
24,Acct_City,Acct_id,0.1,,
25,Acct_email,Acct_email,1,,
26,Acct_id,Acct_id,1,,
27,Acct_LName,Acct_LName,1,,
28,Acct_LName,Acct_LName,1,,
29,Acct_LName,Acct_FName,0.8,,
30,Acct_MName,Acct_MName,1,,
31,Acct_id,Acct_id,1,,
32,Acct_State,Acct_State,1,,
33,Acct_LName,Acct_FName,0.8,,
34,Acct_City,Acct_LName,0.6,,
35,Acct_phone,Acct_phone,1,,
36,Acct_UIDNo.,Acct_UIDNo.,1,,
37,Acct_DOB,Acct_DOB,1,,
38,Acct_UIDNo.,Acct_UIDNo.,1,,
39,Acct_Addr1,Acct_Addr1,1,,
40,Acct_DOB,Acct_DOB,1,,
41,Acct_Gender,Acct_Gender,1,,
42,Acct_LName,Acct_FName,0.8,,
43,Acct_MName,Acct_MName,1,,
44,Acct_State,Acct_State,1,,
45,Acct_LName,Acct_LName,1,,
46,Acct_LName,Acct_LName,1,,
47,Acct_UIDNo.,Acct_UIDNo.,1,,
48,Acct_DOB,Acct_DOB,1,,
49,Acct_DOB,Acct_DOB,1,,
50,Acct_UIDNo.,Acct_UIDNo.,1,,
51,Acct_UIDNo.,Acct_UIDNo.,1,,
52,Acct_Addr2,Acct_Addr2,1,,
53,Acct_phone,Acct_phone,1,,
54,Acct_id,Acct_id,1,,
55,Acct_email,Acct_email,1,,
56,Acct_MName,Acct_FName,0.7,,
57,Acct_FName,Acct_FName,1,,
58,Acct_Addr1,Acct_Addr1,1,,
59,Acct_Gender,Acct_Gender,1,,
60,Acct_MName,Acct_LName,0.9,,
61,Acct_Addr1,Acct_Addr1,1,,
62,Acct_LName,Acct_FName,0.8,,
63,Acct_Addr1,Acct_Addr1,1,,
64,Acct_DOB,Acct_DOB,1,,
65,Acct_LName,Acct_FName,0.8,,
66,Acct_Addr2,Acct_MName,0.4,,
67,Acct_State,Acct_State,1,,
68,Acct_DOB,Acct_DOB,1,,
69,Acct_City,Acct_City,1,,
70,Acct_MName,Acct_FName,0.7,,
71,Acct_phone,Acct_phone,1,,
72,Acct_DOB,Acct_DOB,1,,
73,Acct_City,Acct_LName,0.6,,
74,Acct_UIDNo.,Acct_UIDNo.,1,,
75,Acct_id,Acct_id,1,,
76,Acct_UIDNo.,Acct_UIDNo.,1,,
77,Acct_City,Acct_City,1,,
78,Acct_id,Acct_id,1,,
79,Acct_email,Acct_email,1,,
80,Acct_LName,Acct_City,0.6,,
81,Acct_LName,Acct_FName,0.8,,
82,Acct_email,Acct_email,1,,
83,Acct_FName,Acct_LName,0.8,,
84,Acct_id,Acct_id,1,,
85,Acct_State,Acct_State,1,,
86,Acct_Addr1,Acct_Addr1,1,,
87,Acct_City,Acct_FName,0.8,,
88,Acct_Addr2,Acct_Addr2,1,,
89,Acct_Addr1,Acct_Addr1,1,,
90,Acct_MName,Acct_MName,1,,
91,Acct_Addr1,Acct_Addr1,1,,
92,Acct_UIDNo.,Acct_UIDNo.,1,,
93,Acct_MName,Acct_MName,1,,
94,Acct_Gender,Acct_Gender,1,,
95,Acct_LName,Acct_FName,0.8,,
96,Acct_MName,Acct_FName,0.7,,
97,Acct_DOB,Acct_DOB,1,,
98,Acct_DOB,Acct_DOB,1,,
99,Acct_Gender,Acct_Gender,1,,
100,Acct_phone,Acct_phone,1,,
101,Acct_MName,Acct_MName,1,,
102,Acct_State,Acct_State,1,,
103,Acct_Gender,Acct_Gender,1,,
104,Acct_MName,Acct_MName,1,,
105,Acct_MName,Acct_City,0.5,,
106,Acct_LName,Acct_LName,1,,
107,Acct_City,Acct_LName,0.6,,
108,Acct_LName,Acct_FName,0.8,,
109,Acct_UIDNo.,Acct_UIDNo.,1,,
110,Acct_email,Acct_email,1,,
111,Acct_UIDNo.,Acct_UIDNo.,1,,
112,Acct_email,Acct_email,1,,
113,Acct_LName,Acct_id,0.5,,
114,Acct_Addr1,Acct_Addr1,1,,
115,Acct_Gender,Acct_Gender,1,,
116,Acct_phone,Acct_phone,1,,
117,Acct_City,Acct_LName,0.6,,
118,Acct_Addr2,Acct_MName,0.4,,
119,Acct_id,Acct_id,1,,
120,Acct_Addr2,Acct_MName,0.4,,
121,Acct_Addr1,Acct_Addr1,1,,
122,Acct_LName,Acct_LName,1,,
123,Acct_Addr2,Acct_MName,0.4,,
124,Acct_City,Acct_phone,0,,
125,Acct_LName,Acct_LName,1,,
126,Acct_Gender,Acct_Gender,1,,
127,Acct_State,Acct_State,1,,
128,Acct_Addr1,Acct_Addr2,0.9,,
129,Acct_MName,Acct_MName,1,,
130,Acct_LName,Acct_LName,1,,
131,Acct_id,Acct_id,1,,
132,Acct_City,Acct_UIDNo.,0.3,,
133,Acct_Gender,Acct_Gender,1,,
134,Acct_UIDNo.,Acct_UIDNo.,1,,
135,Acct_City,Acct_City,1,,
136,Acct_Addr2,Acct_Addr2,1,,
137,Acct_LName,Acct_City,0.6,,
138,Acct_State,Acct_State,1,,
139,Acct_State,Acct_State,1,,
140,Acct_FName,Acct_FName,1,,
141,Acct_Addr1,Acct_Addr1,1,,
142,Acct_MName,Acct_FName,0.7,,
143,Acct_MName,Acct_MName,1,,
144,Acct_id,Acct_id,1,,
145,Acct_email,Acct_email,1,,
146,Acct_State,Acct_State,1,,
147,Acct_DOB,Acct_DOB,1,,
148,Acct_FName,Acct_LName,0.8,,
149,Acct_FName,Acct_LName,0.8,,
150,Acct_id,Acct_id,1,,
151,Acct_id,Acct_id,1,,
152,Acct_id,Acct_id,1,,
153,Acct_Addr2,Acct_MName,0.4,,
154,Acct_LName,Acct_LName,1,,
155,Acct_State,Acct_State,1,,
156,Acct_FName,Acct_LName,0.8,,
157,Acct_Addr2,Acct_Addr2,1,,
158,Acct_Addr2,Acct_Addr2,1,,
159,Acct_Gender,Acct_Gender,1,,
160,Acct_Gender,Acct_Gender,1,,
161,Acct_Addr2,Acct_Addr2,1,,
162,Acct_Addr1,Acct_Addr1,1,,
163,Acct_UIDNo.,Acct_UIDNo.,1,,
164,Acct_UIDNo.,Acct_UIDNo.,1,,
165,Acct_email,Acct_email,1,,
166,Acct_FName,Acct_City,0.8,,
167,Acct_City,Acct_LName,0.6,,
168,Acct_LName,Acct_LName,1,,
169,Acct_UIDNo.,Acct_UIDNo.,1,,
170,Acct_Gender,Acct_Gender,1,,
171,Acct_FName,Acct_LName,0.8,,
172,Acct_Addr2,Acct_Addr2,1,,
173,Acct_email,Acct_email,1,,
174,Acct_DOB,Acct_DOB,1,,
175,Acct_email,Acct_email,1,,
176,Acct_id,Acct_id,1,,
177,Acct_Gender,Acct_Gender,1,,
178,Acct_FName,Acct_FName,1,,
179,Acct_Addr1,Acct_Addr1,1,,
180,Acct_FName,Acct_FName,1,,
181,Acct_DOB,Acct_DOB,1,,
182,Acct_phone,Acct_phone,1,,
183,Acct_City,Acct_UIDNo.,0.3,,
184,Acct_Addr1,Acct_Addr1,1,,
185,Acct_UIDNo.,Acct_UIDNo.,1,,
186,Acct_UIDNo.,Acct_UIDNo.,1,,
187,Acct_Gender,Acct_Gender,1,,
188,Acct_FName,Acct_FName,1,,
189,Acct_LName,Acct_City,0.6,,
190,Acct_email,Acct_email,1,,
191,Acct_UIDNo.,Acct_UIDNo.,1,,
192,Acct_Addr2,Acct_Addr1,0.9,,
193,Acct_Addr2,Acct_Addr2,1,,
194,Acct_FName,Acct_City,0.8,,
195,Acct_FName,Acct_FName,1,,
196,Acct_MName,Acct_FName,0.7,,
197,Acct_MName,Acct_MName,1,,
198,Acct_phone,Acct_phone,1,,
199,Acct_Gender,Acct_Gender,1,,
200,Acct_Addr1,Acct_Addr1,1,,
201,Acct_Addr2,Acct_Addr2,1,,
202,Acct_State,Acct_State,1,,
203,Acct_Addr1,Acct_City,0.8,,
204,Acct_FName,Acct_FName,1,,
205,Acct_Gender,Acct_Gender,1,,
206,Acct_UIDNo.,Acct_UIDNo.,1,,
207,Acct_MName,Acct_MName,1,,
208,Acct_MName,Acct_LName,0.9,,
209,Acct_Addr1,Acct_Addr1,1,,
210,Acct_DOB,Acct_DOB,1,,
211,Acct_Gender,Acct_Gender,1,,
212,Acct_UIDNo.,Acct_UIDNo.,1,,
213,Acct_id,Acct_id,1,,
214,Acct_email,Acct_email,1,,
